RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
58 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
59 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
60 Urban "Very good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
61 Urban "Neither good nor bad" Never "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
62 Urban "Very bad" Never "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
63 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Some primary schooling" 
64 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
65 Urban "Very bad" Occasionally "You were not registered to vote" "Increased a lot" "Some university" 
66 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
67 Urban "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
68 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
69 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
70 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
71 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
72 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
73 Urban "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
74 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
75 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
76 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
77 Urban "Very bad" Occasionally "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
78 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
79 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
80 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
81 Urban "Fairly Good" Never "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
82 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
83 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
84 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" Post-graduate 
85 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "No formal schooling" 
86 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
87 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
88 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
89 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
90 Urban "Very good" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
91 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
92 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
93 Urban "Fairly Good" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
94 Urban "Neither good nor bad" Never "You decided not to vote" "Stayed the same" "Secondary school / high school completed" 
95 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
96 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "University completed" 
97 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
98 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
99 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
100 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
101 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Primary school completed" 
102 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
103 Urban "Fairly Good" Frequently "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
104 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
105 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Decreased a lot" "Post-secondary qualifications, other than university" 
106 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
107 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
108 Urban "Fairly bad" Frequently "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
109 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
110 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
111 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
112 Urban "Fairly Good" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
113 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
114 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
115 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
116 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
117 Urban "Fairly Good" Never "You were not registered to vote" "Stayed the same" "Some secondary school / high school" 
118 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
119 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
120 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
121 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
122 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
123 Urban "Neither good nor bad" "Don't know" "You decided not to vote" "Stayed the same" "Some secondary school / high school" 
124 Urban "Fairly Good" Never "You were not registered to vote" "Stayed the same" "No formal schooling" 
125 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
126 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
127 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
128 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" Post-graduate 
129 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
130 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
131 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
132 Urban "Very good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
133 Urban "Neither good nor bad" Never "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
134 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
135 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
136 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
137 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
138 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
139 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
140 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
141 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
142 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
143 Urban "Very bad" Never "You voted in the elections" "Increased a lot" Post-graduate 
144 Urban "Very bad" Occasionally "You voted in the elections" "Stayed the same" "University completed" 
145 Urban "Fairly bad" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
146 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
147 Urban "Very bad" Frequently "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
148 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
149 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
150 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
151 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
152 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
153 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
154 Urban "Very bad" Never "You decided not to vote" "Increased a lot" Post-graduate 
155 Urban "Very bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
156 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
157 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
158 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
159 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
160 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
161 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "University completed" 
162 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
163 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "University completed" 
164 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
165 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
166 Urban "Fairly Good" Frequently "You decided not to vote" "Increased a lot" Post-graduate 
167 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
168 Urban "Don't know" Never "You voted in the elections" "Decreased somewhat" "Some primary schooling" 
169 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
170 Urban "Fairly Good" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
171 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
172 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
173 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
174 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
175 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
176 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
177 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
178 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
179 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
180 Urban "Fairly Good" Frequently "You voted in the elections" "Stayed the same" "Primary school completed" 
181 Urban "Fairly Good" Never "You decided not to vote" "Increased a lot" "Primary school completed" 
182 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some university" 
183 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
184 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
185 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
186 Tribal "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
187 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
188 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Don't know" "No formal schooling" 
189 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
190 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
191 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
192 Urban "Very bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
193 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
194 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
195 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
196 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
197 "Rural farm" "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
198 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
199 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
200 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
201 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
202 Tribal "Fairly bad" Occasionally "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
203 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
204 Tribal "Neither good nor bad" Occasionally "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
205 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Primary school completed" 
206 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
207 Tribal "Fairly Good" Never "You were too young to vote" "Stayed the same" "Secondary school / high school completed" 
208 Tribal "Neither good nor bad" Occasionally "You did not have time to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
209 Tribal "Fairly bad" Frequently "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
210 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
211 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
212 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
213 Tribal "Neither good nor bad" Occasionally "You decided not to vote" "Increased a lot" "No formal schooling" 
214 Tribal "Fairly Good" Frequently "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
215 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
216 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
217 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "No formal schooling" 
218 Tribal "Neither good nor bad" Never "You voted in the elections" "Decreased somewhat" "Some primary schooling" 
219 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
220 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
221 Tribal "Fairly bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
222 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
223 Tribal "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
224 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
225 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
226 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
227 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
228 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
229 Urban "Fairly bad" Never "You decided not to vote" "Increased somewhat" "Primary school completed" 
230 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
231 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
232 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
233 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
234 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
235 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
236 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
237 Tribal "Fairly Good" Never "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
238 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
239 Tribal "Neither good nor bad" Never "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
240 Tribal "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Primary school completed" 
241 Tribal "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
242 Tribal "Very bad" Occasionally "Did not vote for some other reason" "Increased somewhat" "Some primary schooling" 
243 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
244 Tribal "Fairly Good" Occasionally "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
245 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "University completed" 
246 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
247 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
248 Urban "Fairly Good" Frequently "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
249 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "No formal schooling" 
250 Tribal "Fairly Good" Occasionally "You voted in the elections" "Don't know" "Some primary schooling" 
251 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
252 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
253 Tribal "Neither good nor bad" Occasionally "You did not have time to vote" "Increased a lot" "Some primary schooling" 
254 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
255 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
256 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
257 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
258 Tribal "Very good" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
259 Tribal "Very good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
260 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
261 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
262 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
263 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
264 Urban "Neither good nor bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
265 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
266 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
267 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
268 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
269 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
270 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
271 Urban "Very bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
272 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
273 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
274 Urban "Very bad" Frequently "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
275 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
276 Urban "Very bad" Occasionally "You did not have time to vote" "Increased a lot" "Some university" 
277 Tribal "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
278 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
279 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
280 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
281 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
282 Urban "Fairly bad" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
283 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some university" 
284 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
285 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
286 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "University completed" 
287 Urban "Fairly Good" Never "You decided not to vote" "Increased somewhat" "Inside the house"       
288 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "University completed" 
289 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Increased a lot" "Inside the house"       
290 Urban "Very bad" Frequently "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
291 Urban "Fairly bad" Occasionally "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
292 Urban "Fairly Good" Occasionally "Did not vote for some other reason" "Increased somewhat" "University completed" 
293 Urban "Neither good nor bad" Occasionally "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
